filename,author,gender,faction
11002769,Rudolf Scharping,männlich,20
11002770,Hartmut Schauerte,männlich,20
11002771,Christine Scheel,weiblich,13
11002774,Irmingard Schewe-Gerigk,weiblich,23
11002779,Albert Schmidt,männlich,-1
11002781,Edzard Schmidt-Jortzig,männlich,4
11002791,Reinhard Schultz,männlich,25
11002800,Johannes Singhammer,männlich,23
11002804,Jörg Otto Spiller,männlich,-1
11002805,Max Stadler,männlich,4
11002806,Rainder Steenblock,männlich,20
11002808,Erika Steinbach-Hermann,weiblich,20
11002811,Andreas Storm,männlich,7
11002812,Max Straubinger,männlich,-1
11002813,Jörg Tauss,männlich,7
11002818,Franz Thönnes,männlich,25
11002829,Dagmar G. Wöhrl,weiblich,26
11002830,Winfried Wolf,männlich,-1
11002831,Margareta Wolf-Mayer,weiblich,-1
11002944,Guido Westerwelle,männlich,-1
11003028,Ilse Aigner,weiblich,4
11003029,Rainer Arnold,männlich,4
11003033,Norbert Barthle,männlich,4
11003034,Dietmar Bartsch,männlich,20
11003050,Lothar Binding,männlich,-1
11003053,Klaus Brandner,männlich,20
11003055,Ralf Brauksiepe,männlich,23
11003059,Rainer Brüderle,männlich,-1
11003063,Ernst Burgbacher,männlich,20
11003065,Roland Claus,männlich,26
11003068,Ekin Deligöz,weiblich,23
11003071,Thea Dückert,weiblich,7
11003115,Hans Josef Fell,männlich,20
11003117,Reinhard Loske,männlich,20
11003119,Ingrid Fischbach,weiblich,4
11003124,Ulrike Flach,weiblich,23
11003130,Hans Peter Friedrich,männlich,4
11003132,Wolfgang Gehrcke,männlich,4
11003133,Katrin Dagmar Göring-Eckardt,weiblich,4
11003142,Hans Michael Goldmann,männlich,-1
11003143,Hubertus Heil,männlich,26
11003147,Ursula Heinen,weiblich,25
11003155,Winfried Hermann,männlich,20
11003157,Christel Humme,weiblich,7
11003158,Johannes Kahrs,männlich,26
11003160,Ulrich Kasparick,männlich,26
11003162,Gudrun Kopp,weiblich,-1
11003167,Anette Kramme,weiblich,4
11003168,Christine Lambrecht,weiblich,25
11003170,Christian Lange,männlich,7
11003176,Ina Lenke,weiblich,20
11003196,Andrea Nahles,weiblich,25
11003198,Dirk Niebel,männlich,26
11003206,Petra Pau,weiblich,20
11003208,Cornelia Pieper,weiblich,20
11003209,Katherina Reiche,weiblich,7
11003210,René Röspel,männlich,4
11003211,Ernst Dieter Rossmann,männlich,26
11003218,Carsten Schneider,männlich,25
11003231,Olaf Scholz,männlich,4
11003239,Ditmar Staffelt,männlich,25
11003246,Jürgen Trittin,männlich,7
11003247,Hans Peter Uhl,männlich,4
11003248,Arnold Vaatz,männlich,4
11003249,Rüdiger Veit,männlich,23
11003255,Peter Weiß,männlich,4
11003259,Annette Widmann-Mauz,weiblich,25
11003264,Klaus Peter Willsch,männlich,20
11003270,Waltraud Wolff,weiblich,20
11003434,Carola Reimann,weiblich,4
11003440,Kerstin Griese,weiblich,25
11003450,Ulrich Kelber,männlich,4
11003482,Gabriele Lösekrug-Möller,weiblich,-1
11003493,Kerstin Andreae,weiblich,20
11003495,Daniel Bahr,männlich,20
11003496,Sören Bartol,männlich,23
11003498,Uwe Beckmeyer,männlich,-1
11003500,Cornelia Behm,weiblich,25
11003502,Birgitt Bender,weiblich,20
11003505,Christoph Bergner,männlich,7
11003507,Clemens Binninger,männlich,-1
11003510,Helge Braun,männlich,20
11003514,Gitta Connemann,weiblich,20
11003516,Alexander Dobrindt,männlich,20
11003522,Hans Eichel,männlich,-1
11003527,Maria Flachsbarth,weiblich,-1
11003530,Otto Fricke,männlich,23
11003531,Michael Fuchs,männlich,25
11003539,Reinhard Grindel,männlich,7
11003544,Olav Gutting,männlich,7
11003545,Bettina Hagedorn,weiblich,20
11003547,Anja Hajduk,weiblich,20
11003556,Gabriele Hiller-Ohm,weiblich,20
11003566,Julia Klöckner,weiblich,26
11003569,Kristina Köhler,weiblich,4
11003574,Günter Krings,männlich,-1
11003576,Renate Künast,weiblich,26
11003577,Fritz Kuhn,männlich,26
11003578,Markus Kurth,männlich,20
11003580,Sibylle Laurischk,weiblich,23
11003584,Gesine Lötzsch,weiblich,4
11003586,Dorothee Mantel,weiblich,25
11003587,Caren Marks,weiblich,25
11003589,Stephan Mayer,männlich,23
11003595,Jerzy Montag,männlich,20
11003599,Rolf Mützenich,männlich,23
11003602,Georg Nüßlein,männlich,23
11003604,Friedrich Ostendorff,männlich,26
11003608,Joachim Pfeiffer,männlich,25
11003612,Florian Pronold,männlich,25
11003614,Sascha Raabe,männlich,7
11003616,Walter Riester,männlich,23
11003623,Anton Schaaf,männlich,23
11003625,Andreas Scheuer,männlich,25
11003628,Ole Schröder,männlich,25
11003630,Swen Schulz,männlich,25
11003636,Thomas Silberhorn,männlich,23
11003638,Jens Spahn,männlich,26
11003640,Rainer Stinner,männlich,23
11003644,Christoph Strässer,männlich,-1
11003646,Antje Tillmann,weiblich,4
11003660,Josef Philip Winkler,männlich,26
11003663,Manfred Zöllmer,männlich,-1
11003667,Gisela Piltz,weiblich,25
11003669,Christel Happach-Kasan,weiblich,4
11003698,Michael Kauch,männlich,7
11003702,Volker Wissing,männlich,-1
11003705,Elvira Drobinski-Weiß,weiblich,23
11003714,Monika Lazar,weiblich,-1
11003734,Thomas Bareiß,männlich,25
11003738,Karin Binder,weiblich,23
11003740,Heidrun Bluhm,weiblich,23
11003746,Sevim Dağdelen,weiblich,4
11003748,Patrick Döring,männlich,7
11003753,Klaus Ernst,männlich,26
11003755,Sigmar Gabriel,männlich,-1
11003756,Kai Gehring,männlich,23
11003763,Heike Hänsel,weiblich,-1
11003764,Britta Haßelmann,weiblich,-1
11003769,Priska Hinz,weiblich,4
11003772,Anton Hofreiter,männlich,-1
11003774,Bärbel Höhn,weiblich,-1
11003780,Andreas Jung,männlich,20
11003786,Katja Kipping,weiblich,-1
11003790,Jan Korte,männlich,20
11003792,Sylvia Kotting-Uhl,weiblich,25
11003796,Andreas G. Lämmel,männlich,23
11003797,Karl Lauterbach,männlich,4
11003799,Paul Lehrieder,männlich,20
11003800,Michael Leutert,männlich,23
11003804,Katja Mast,weiblich,20
11003809,Matthias Miersch,männlich,20
11003810,Philipp Mißfelder,männlich,13
11003820,Thomas Oppermann,männlich,4
11003823,Brigitte Pothmer,weiblich,7
11003826,Eckhardt Rehberg,männlich,4
11003830,Sönke Rix,männlich,-1
11003836,Annette Schavan,weiblich,4
11003837,Gerhard Schick,männlich,20
11003839,Karl Schiewerling,männlich,7
11003846,Frank Schwabe,männlich,-1
11003848,Petra Sitte,weiblich,26
11003853,Kirsten Tackmann,weiblich,4
11003856,Florian Toncar,männlich,13
11003857,Axel Troost,männlich,20
11003858,Alexander Ulrich,männlich,23
11003861,Marcus Weinberg,männlich,13
11003863,Wolfgang Wieland,männlich,4
11003865,Elisabeth Winkelmeier-Becker,weiblich,23
11003866,Hartfrid Wolff,männlich,-1
11003867,Jörn Wunderlich,männlich,20
11003869,Sabine Zimmermann,weiblich,20
11003870,Brigitte Zypries,weiblich,-1
11003881,Omid Nouripour,männlich,23
11003888,Wolfgang Strengmann-Kuhn,männlich,20
11003889,Manuel Sarrazin,männlich,7
11003896,Eva Högl,weiblich,7
11004001,Jan Aken,männlich,-1
11004007,Herbert Behrens,männlich,20
11004012,Matthias W. Birkwald,männlich,20
11004018,Reinhard Brandl,männlich,4
11004021,Ralph Brinkhaus,männlich,-1
11004022,Christine Buchholz,weiblich,20
11004030,Katja Dörner,weiblich,23
11004034,Michael Frieser,männlich,-1
11004048,Florian Hahn,männlich,7
11004050,Jürgen Hardt,männlich,26
11004054,Frank Heinrich,männlich,-1
11004055,Rudolf Henke,männlich,25
11004056,Ansgar Heveling,männlich,20
11004066,Uwe Kekeritz,männlich,20
11004067,Katja Keul,weiblich,4
11004068,Roderich Kiesewetter,männlich,23
11004070,Sven Christian Kindler,männlich,4
11004072,Maria Klein-Schmeink,weiblich,4
11004075,Pascal Kober,männlich,-1
11004079,Daniela Kolbe,weiblich,13
11004080,Jutta Krellmann,weiblich,26
11004081,Oliver Krischer,männlich,-1
11004085,Stephan Kühn,männlich,25
11004087,Ulrich Lange,männlich,4
11004088,Caren Lay,weiblich,4
11004089,Sabine Leidig,weiblich,23
11004091,Ralph Lenkert,männlich,4
11004092,Ursula Leyen,weiblich,-1
11004100,Jan Marco Luczak,männlich,20
11004101,Kirsten Lühmann,weiblich,20
11004106,Agnes Malczak,weiblich,-1
11004114,Niema Movassat,männlich,26
11004116,Nadine Müller,weiblich,26
11004117,Beate Müller-Gemmeke,weiblich,-1
11004120,Martin Neumann,männlich,23
11004123,Konstantin Notz,männlich,4
11004127,Lisa Paus,weiblich,20
